iter	RMSE
0	28401.94477
1	27407.81369
2	26493.29594
3	25703.72522
4	24986.33373
5	24346.40417
6	23711.99004
7	23126.88424
8	22612.31294
9	22081.31801
10	21542.48256
11	21056.87795
12	20627.00592
13	20202.36058
14	19806.51013
15	19464.26958
16	19096.78585
17	18780.19593
18	18466.26234
19	18192.15614
20	17937.32702
21	17708.72716
22	17471.51838
23	17251.9891
24	17011.82492
25	16821.31419
26	16642.99698
27	16443.08685
28	16236.37693
29	16059.74606
30	15900.75633
31	15728.90345
32	15610.72618
33	15477.78709
34	15361.48976
35	15238.38853
36	15115.85193
37	15026.06784
38	14930.14701
39	14843.33738
40	14739.22152
41	14652.7276
42	14560.64874
43	14481.59228
44	14400.29908
45	14342.59622
46	14249.39453
47	14175.18105
48	14103.21397
49	14041.7915
50	13977.15141
51	13909.54275
52	13855.88553
53	13787.00626
54	13717.05522
55	13646.24662
56	13601.25749
57	13559.82759
58	13459.56779
59	13395.81295
60	13341.12297
61	13230.46211
62	13173.10645
63	13147.06991
64	13095.48579
65	13023.00493
66	13007.21719
67	12952.4341
68	12925.64389
69	12853.89122
70	12828.07413
71	12804.98703
72	12790.50218
73	12735.43539
74	12692.06319
75	12608.69438
76	12587.63691
77	12557.89059
78	12520.10414
79	12500.97977
80	12487.45258
81	12444.03271
82	12418.11535
83	12404.74922
84	12374.62819
85	12366.56312
86	12344.425
87	12342.87919
88	12312.78185
89	12298.36006
90	12278.78405
91	12239.1659
92	12237.83562
93	12218.15176
94	12195.39606
95	12140.96104
96	12120.03733
97	12099.97726
98	12087.04655
99	12020.1744
100	12002.21448
101	11993.85322
102	11973.74038
103	11967.39858
104	11957.50283
105	11951.87116
106	11938.7495
107	11922.17393
108	11894.87842
109	11888.78666
110	11877.5266
111	11868.23053
112	11848.0875
113	11839.33126
114	11806.28035
115	11775.35378
116	11766.51958
117	11745.70724
118	11730.11524
119	11670.74414
120	11646.15186
121	11625.40284
122	11618.96564
123	11598.65331
124	11563.32217
125	11531.74088
126	11510.20283
127	11491.7384
128	11473.75438
129	11468.30016
130	11454.29514
131	11426.59977
132	11416.2191
133	11401.60548
134	11383.664
135	11357.3508
136	11342.14171
137	11315.34188
138	11303.95495
139	11291.8036
140	11252.38195
141	11238.76253
142	11188.09853
143	11158.47902
144	11149.59145
145	11131.93713
146	11116.48682
147	11088.0873
148	11066.07564
149	11042.74321
150	11031.22578
151	11028.0177
152	10978.13858
153	10966.569
154	10957.94204
155	10947.71803
156	10935.55318
157	10917.89872
158	10915.13857
159	10884.73153
160	10877.1748
161	10874.42305
162	10867.20927
163	10856.06296
164	10845.57051
165	10826.49362
166	10818.25038
167	10813.6116
168	10805.67964
169	10775.49281
170	10763.20541
171	10728.784
172	10716.4532
173	10708.72846
174	10691.76034
175	10688.01518
176	10674.59008
177	10659.24494
178	10645.36586
179	10615.92815
180	10607.35183
181	10601.3621
182	10571.33829
183	10551.3194
184	10536.38002
185	10518.75896
186	10506.78645
187	10499.70542
188	10476.19047
189	10465.25395
190	10460.64541
191	10445.75683
192	10442.08227
193	10429.96186
194	10424.17131
195	10404.40227
196	10401.41989
197	10375.46415
198	10363.97838
199	10354.19582
200	10349.59931
201	10324.67694
202	10315.93165
203	10304.59273
204	10281.73351
205	10266.88201
206	10256.42293
207	10227.32467
208	10201.37223
209	10177.13308
210	10163.35826
211	10152.56642
212	10140.98465
213	10132.70344
214	10126.15874
215	10099.4248
216	10093.39881
217	10085.9679
218	10073.31899
219	10051.0319
220	10045.51088
221	10041.86649
222	10026.35985
223	10016.41673
224	9992.471384
225	9981.626253
226	9973.10726
227	9969.155542
228	9945.270644
229	9934.627725
230	9908.258761
231	9881.033395
232	9879.765232
233	9866.399888
234	9859.017206
235	9849.857282
236	9829.031894
237	9809.474571
238	9806.08477
239	9783.130642
240	9774.372746
241	9766.141569
242	9750.139876
243	9735.800168
244	9720.557195
245	9713.159375
246	9711.318307
247	9693.575569
248	9683.753195
249	9676.969575
250	9657.565962
251	9636.682936
252	9617.268458
253	9612.637064
254	9610.755628
255	9605.08017
256	9598.794316
257	9580.147603
258	9573.902665
259	9555.010928
260	9541.300092
261	9531.00138
262	9519.098778
263	9510.489174
264	9497.970297
265	9479.816282
266	9465.123497
267	9464.253741
268	9447.971128
269	9436.641328
270	9426.716426
271	9412.414385
272	9403.197064
273	9395.52695
274	9382.305152
275	9364.728509
276	9353.455884
277	9343.733611
278	9342.140285
279	9337.85759
280	9328.916719
281	9312.496902
282	9303.230507
283	9287.672778
284	9278.570728
285	9270.694867
286	9265.025119
287	9258.729451
288	9255.590171
289	9249.332114
290	9246.820612
291	9232.84166
292	9225.37595
293	9220.114613
294	9210.667581
295	9199.649259
296	9186.087819
297	9178.455904
298	9168.74777
299	9161.614713
300	9148.342181
301	9138.83967
302	9123.78092
303	9120.579002
304	9113.839306
305	9103.619471
306	9092.665823
307	9085.473701
308	9078.834386
309	9070.347201
310	9064.636073
311	9058.300807
312	9042.36932
313	9024.470866
314	9015.884849
315	9002.638397
316	8990.621896
317	8984.269186
318	8976.149998
319	8974.785984
320	8951.212619
321	8945.618479
322	8936.055782
323	8931.040187
324	8923.634742
325	8915.970252
326	8909.790839
327	8903.583896
328	8895.379009
329	8888.340185
330	8871.524543
331	8865.888371
332	8858.762706
333	8854.018339
334	8844.220354
335	8838.692636
336	8820.027075
337	8808.417261
338	8801.049936
339	8791.460702
340	8781.247886
341	8765.86059
342	8759.969962
343	8753.735863
344	8748.222142
345	8742.907069
346	8737.750972
347	8733.959213
348	8728.828507
349	8724.851775
350	8717.777971
351	8712.335831
352	8709.192708
353	8704.221148
354	8689.492633
355	8677.358294
356	8665.610547
357	8658.691483
358	8652.569676
359	8647.726011
360	8644.868366
361	8640.682767
362	8631.483125
363	8615.778178
364	8613.660012
365	8607.13478
366	8602.377691
367	8599.85617
368	8596.271162
369	8591.692532
370	8585.953201
371	8579.5425
372	8573.743947
373	8568.698024
374	8563.789444
375	8546.606999
376	8530.70961
377	8525.011341
378	8522.278488
379	8518.411093
380	8514.685673
381	8498.707874
382	8491.703431
383	8480.98328
384	8468.972463
385	8464.402889
386	8455.255612
387	8447.579197
388	8443.116066
389	8434.44009
390	8430.476012
391	8427.610309
392	8417.943098
393	8411.850808
394	8403.784958
395	8398.015794
396	8391.624797
397	8385.377512
398	8383.36159
399	8369.203839
400	8364.071543
401	8357.427137
402	8352.194211
403	8348.144293
404	8337.516079
405	8332.677649
406	8326.375883
407	8322.541731
408	8316.790005
409	8312.380685
410	8308.301272
411	8299.172311
412	8292.895155
413	8291.084431
414	8285.080893
415	8278.419521
416	8272.943619
417	8268.305527
418	8261.658251
419	8259.347662
420	8256.800362
421	8252.39077
422	8248.06869
423	8245.090088
424	8241.701228
425	8232.839749
426	8227.249719
427	8221.913339
428	8216.730149
429	8211.964559
430	8203.293507
431	8198.970499
432	8194.623504
433	8191.0354
434	8184.444814
435	8175.819386
436	8169.317352
437	8165.819527
438	8159.939867
439	8154.506178
440	8149.008742
441	8144.100247
442	8140.805772
443	8129.575851
444	8126.562024
445	8118.31872
446	8111.529452
447	8103.832347
448	8099.62911
449	8095.454847
450	8086.750402
451	8079.734583
452	8072.263568
453	8070.788987
454	8067.294638
455	8059.830118
456	8046.314308
457	8043.803135
458	8038.686779
459	8034.428902
460	8033.107976
461	8029.502784
462	8022.8769
463	8018.585806
464	8011.363117
465	8001.282929
466	7998.57155
467	7992.263566
468	7987.534486
469	7983.231169
470	7976.760929
471	7966.126534
472	7961.384082
473	7960.067658
474	7950.54095
475	7945.484287
476	7938.730161
477	7931.619588
478	7930.381194
479	7924.476415
480	7919.05507
481	7915.196879
482	7910.125733
483	7905.195551
484	7900.264355
485	7898.004146
486	7893.675871
487	7889.82881
488	7888.387771
489	7887.231207
490	7883.913654
491	7881.664818
492	7875.596676
493	7874.47532
494	7868.113709
495	7856.388365
496	7850.806893
497	7843.908867
498	7838.246558
499	7836.228478
500	7832.784741
501	7829.959098
502	7824.608986
503	7821.359263
504	7819.102346
505	7815.543801
506	7810.400506
507	7809.270596
508	7805.773917
509	7797.747033
510	7791.386874
511	7788.47175
512	7783.773579
513	7772.032967
514	7765.26018
515	7762.284641
516	7753.79739
517	7744.880195
518	7736.545848
519	7735.479413
520	7730.738407
521	7728.265938
522	7723.121353
523	7716.918649
524	7715.889797
525	7714.869885
526	7704.290225
527	7698.116543
528	7691.754349
529	7686.707887
530	7681.27169
531	7677.32101
532	7676.329327
533	7672.592649
534	7666.820899
535	7661.812458
536	7660.500758
537	7658.036294
538	7652.535873
539	7649.873603
540	7648.911766
541	7641.985873
542	7641.083011
543	7639.103842
544	7634.344737
545	7632.111222
546	7631.233966
547	7625.827431
548	7622.656773
549	7619.261065
550	7615.001122
551	7613.415917
552	7608.750733
553	7606.770017
554	7603.046963
555	7600.036511
556	7595.13587
557	7594.264053
558	7593.389411
559	7588.823997
560	7585.750843
561	7583.461641
562	7581.32951
563	7570.961533
564	7568.337035
565	7567.220048
566	7564.377818
567	7562.667293
568	7560.770693
569	7551.815478
570	7546.564306
571	7541.622299
572	7536.392695
573	7534.872548
574	7533.79046
575	7531.859397
576	7528.373018
577	7523.380511
578	7522.886221
579	7521.689906
580	7514.195381
581	7509.318169
582	7505.900255
583	7504.270354
584	7499.473777
585	7498.411995
586	7495.648556
587	7493.136194
588	7489.121309
589	7487.254283
590	7482.290667
591	7478.837898
592	7474.823021
593	7471.459022
594	7468.881348
595	7466.236778
596	7464.533772
597	7463.587057
598	7462.869986
599	7453.358075
600	7447.247057
601	7442.213597
602	7437.917604
603	7435.115245
604	7431.738954
605	7426.47933
606	7421.759859
607	7419.86695
608	7416.287594
609	7414.255003
610	7411.252716
611	7408.197568
612	7403.81308
613	7395.493055
614	7391.681447
615	7387.412881
616	7385.800687
617	7382.039391
618	7376.591657
619	7374.146086
620	7371.244011
621	7367.2667
622	7363.993772
623	7362.687984
624	7358.657406
625	7354.993762
626	7352.193732
627	7349.440681
628	7346.933358
629	7345.888152
630	7344.223885
631	7341.028816
632	7336.929223
633	7333.960138
634	7330.602725
635	7329.092324
636	7326.862162
637	7323.032835
638	7319.579212
639	7316.60866
640	7315.646378
641	7314.720463
642	7311.405874
643	7310.731047
644	7307.364685
645	7305.222656
646	7300.511307
647	7292.021024
648	7289.852467
649	7288.974011
650	7285.388824
651	7283.127944
652	7281.566718
653	7280.350697
654	7279.713967
655	7276.259676
656	7268.24557
657	7262.194357
658	7258.372417
659	7252.992282
660	7250.759192
661	7245.380217
662	7242.574525
663	7235.801752
664	7233.934695
665	7229.834301
666	7228.244182
667	7225.394849
668	7222.130713
669	7219.744153
670	7216.337031
671	7208.974283
672	7205.238418
673	7201.973425
674	7194.974028
675	7191.173424
676	7189.277666
677	7188.119344
678	7186.761539
679	7185.553111
680	7183.461408
681	7180.517953
682	7176.923131
683	7175.528016
684	7173.474695
685	7169.84192
686	7163.204043
687	7160.50628
688	7157.388886
689	7154.856278
690	7150.190394
691	7148.321801
692	7147.586114
693	7144.19754
694	7140.364372
695	7139.946564
696	7136.49104
697	7133.654396
698	7130.258315
699	7127.513428
700	7124.313114
701	7122.072456
702	7119.915816
703	7116.881109
704	7112.965831
705	7109.873854
706	7107.271501
707	7105.91414
708	7103.829792
709	7101.531539
710	7098.821824
711	7094.995761
712	7094.019307
713	7092.819202
714	7089.424585
715	7087.370601
716	7083.858856
717	7079.043741
718	7073.187457
719	7069.115877
720	7068.567163
721	7067.174184
722	7066.029569
723	7063.850073
724	7063.30691
725	7061.234703
726	7058.256638
727	7057.527186
728	7054.243244
729	7053.396276
730	7050.001015
731	7047.363655
732	7043.990893
733	7042.959253
734	7038.058727
735	7036.509737
736	7034.906916
737	7032.374156
738	7031.381916
739	7029.533134
740	7025.410304
741	7024.213913
742	7021.611494
743	7018.596979
744	7015.392145
745	7014.851716
746	7011.97327
747	7009.517121
748	7004.784971
749	7002.258535
750	7000.378067
751	6996.983325
752	6993.441354
753	6991.82879
754	6989.425036
755	6988.946243
756	6988.43654
757	6985.733226
758	6984.021351
759	6981.947003
760	6981.496924
761	6975.612704
762	6972.791398
763	6970.219917
764	6968.098825
765	6965.057802
766	6963.442515
767	6959.764286
768	6957.089291
769	6953.821993
770	6951.217213
771	6948.255244
772	6945.27437
773	6943.01031
774	6939.195639
775	6937.010087
776	6933.843856
777	6929.88982
778	6927.569692
779	6925.787323
780	6923.371803
781	6921.406636
782	6919.117942
783	6916.201281
784	6914.198795
785	6911.768374
786	6908.303383
787	6907.547217
788	6905.154857
789	6903.737144
790	6900.403204
791	6894.605747
792	6893.93923
793	6892.019158
794	6887.711664
795	6881.999167
796	6879.51537
797	6877.554282
798	6875.81764
799	6873.861658
800	6871.770317
801	6869.805505
802	6864.242597
803	6862.508121
804	6862.237331
805	6861.984794
806	6859.351693
807	6857.360066
808	6854.734088
809	6852.322468
810	6851.548304
811	6849.835833
812	6845.432173
813	6842.522628
814	6839.310173
815	6837.19379
816	6835.471664
817	6833.584045
818	6830.809377
819	6829.156505
820	6827.085517
821	6824.558835
822	6819.830713
823	6819.729098
824	6818.390354
825	6815.336194
826	6813.258714
827	6810.673964
828	6810.043931
829	6809.328781
830	6806.521111
831	6805.267659
832	6803.866972
833	6802.320765
834	6801.881721
835	6799.344269
836	6798.878382
837	6797.652754
838	6796.583559
839	6792.96556
840	6790.35285
841	6788.910577
842	6787.59777
843	6786.179005
844	6782.853446
845	6780.324102
846	6778.887538
847	6773.394456
848	6769.199905
849	6766.83837
850	6765.075413
851	6761.760573
852	6758.982128
853	6758.094314
854	6754.205158
855	6750.901338
856	6749.140109
857	6747.173435
858	6742.136555
859	6738.358567
860	6736.664661
861	6735.802642
862	6734.635261
863	6732.666348
864	6730.262367
865	6729.454287
866	6727.396269
867	6726.147917
868	6722.16965
869	6721.388637
870	6720.499532
871	6717.896528
872	6714.788089
873	6710.71705
874	6707.164656
875	6705.007628
876	6703.4529
877	6700.34635
878	6699.449354
879	6697.917023
880	6696.333052
881	6693.540993
882	6692.10757
883	6690.845548
884	6687.595156
885	6686.070314
886	6683.650647
887	6682.271465
888	6680.985287
889	6679.485175
890	6677.193009
891	6673.97448
892	6670.049827
893	6668.359924
894	6666.908085
895	6665.973561
896	6663.02117
897	6661.530045
898	6660.977999
899	6659.691941
900	6657.946825
901	6656.374771
902	6655.408544
903	6653.128793
904	6651.335049
905	6650.949278
906	6649.345262
907	6647.171066
908	6646.294871
909	6643.696559
910	6642.793454
911	6640.201886
912	6636.701815
913	6634.271089
914	6632.02922
915	6630.735689
916	6629.514656
917	6627.26551
918	6626.30035
919	6625.334998
920	6623.785779
921	6622.050332
922	6620.039844
923	6618.734838
924	6615.645366
925	6614.510289
926	6612.826338
927	6610.27108
928	6607.646675
929	6605.383541
930	6602.463339
931	6601.02543
932	6599.717968
933	6596.453886
934	6593.898883
935	6593.124138
936	6591.239482
937	6587.706637
938	6586.574269
939	6585.905074
940	6584.001573
941	6581.971947
942	6581.441426
943	6576.788983
944	6575.637149
945	6574.260523
946	6572.798824
947	6572.01036
948	6570.557742
949	6568.201758
950	6567.101076
951	6564.938361
952	6563.10182
953	6561.898961
954	6560.137741
955	6558.360726
956	6555.648095
957	6555.13933
958	6553.448252
959	6552.64438
960	6551.154404
961	6548.801126
962	6544.902311
963	6542.312797
964	6541.149843
965	6540.459612
966	6539.570865
967	6538.927892
968	6537.072629
969	6535.855445
970	6533.335145
971	6531.563124
972	6529.546288
973	6528.079675
974	6526.705119
975	6525.632989
976	6523.367464
977	6522.622969
978	6520.960681
979	6519.246403
980	6517.104965
981	6515.615925
982	6514.436126
983	6512.126738
984	6510.684663
985	6508.634693
986	6506.73793
987	6504.946907
