iter	Passed	Remaining
0	140	140064
1	142	71342
2	145	48382
3	148	36905
4	150	30000
5	153	25438
6	156	22150
7	159	19743
8	162	17842
9	165	16348
10	168	15125
11	171	14111
12	173	13208
13	177	12465
14	179	11780
15	182	11201
16	184	10682
17	187	10238
18	190	9848
19	194	9506
20	196	9179
21	200	8892
22	202	8615
23	205	8361
24	208	8124
25	211	7911
26	213	7710
27	216	7524
28	219	7348
29	222	7194
30	225	7044
31	228	6911
32	231	6775
33	234	6657
34	237	6545
35	240	6437
36	243	6326
37	246	6230
38	249	6140
39	252	6062
40	255	5972
41	258	5890
42	260	5806
43	263	5729
44	266	5656
45	269	5593
46	272	5528
47	275	5462
48	278	5408
49	281	5357
50	284	5293
51	287	5237
52	289	5173
53	292	5125
54	295	5071
55	297	5021
56	300	4968
57	302	4919
58	305	4875
59	308	4832
60	311	4793
61	314	4755
62	317	4717
63	320	4684
64	323	4647
65	325	4610
66	328	4576
67	331	4537
68	334	4507
69	336	4471
70	339	4439
71	342	4412
72	345	4388
73	348	4364
74	352	4341
75	355	4317
76	358	4300
77	362	4281
78	364	4255
79	367	4230
80	370	4204
81	373	4181
82	376	4155
83	378	4128
84	381	4102
85	383	4078
86	386	4057
87	389	4033
88	391	4011
89	394	3987
90	397	3965
91	399	3942
92	402	3921
93	404	3901
94	407	3879
95	410	3862
96	412	3843
97	415	3827
98	418	3812
99	421	3797
100	424	3781
101	427	3766
102	430	3748
103	433	3736
104	436	3719
105	439	3704
106	441	3687
107	444	3672
108	447	3656
109	450	3641
110	452	3625
111	454	3603
112	457	3589
113	460	3581
114	463	3568
115	466	3555
116	469	3540
117	471	3524
118	474	3514
119	477	3501
120	480	3489
121	483	3477
122	485	3464
123	488	3452
124	491	3440
125	494	3427
126	497	3416
127	499	3401
128	501	3389
129	504	3377
130	507	3365
131	510	3355
132	513	3345
133	515	3334
134	519	3326
135	522	3317
136	525	3307
137	527	3297
138	530	3286
139	533	3276
140	537	3272
141	540	3263
142	542	3252
143	545	3243
144	549	3237
145	552	3229
146	555	3222
147	557	3210
148	560	3200
149	562	3189
150	565	3179
151	568	3169
152	570	3158
153	572	3143
154	574	3132
155	577	3123
156	580	3115
157	582	3104
158	585	3095
159	587	3086
160	590	3079
161	593	3068
162	595	3059
163	598	3049
164	600	3041
165	603	3032
166	606	3025
167	609	3017
168	611	3008
169	614	3001
170	617	2993
171	620	2987
172	623	2978
173	625	2970
174	628	2962
175	631	2954
176	633	2945
177	636	2938
178	638	2930
179	641	2922
180	644	2914
181	646	2905
182	649	2897
183	651	2888
184	653	2880
185	656	2872
186	658	2864
187	661	2857
188	663	2848
189	666	2841
190	669	2834
191	671	2827
192	674	2821
193	677	2815
194	680	2809
195	683	2805
196	686	2799
197	689	2793
198	692	2786
199	695	2781
200	698	2775
201	701	2769
